Recreation Visits,LowestTemperature(F),HighestTemperature(F),WarmestMinimumTemperature(F),ColdestMaximumTemperature(F),AverageMinimumTemperature(F),AverageMaximumTemperature(F),MeanTemperature(F),TotalPrecipitation(In),TotalSnowfall(In),Max 24hrPrecipitation(In),Max 24hrSnowfall(In),Year/Month/Day,3month Percent Change Airfare Costs,3month Percent Change Food Away From Home Costs,3month Percent Change Gasoline Costs,3month Percent Change Jet Fuel Costs,Consumer Price Index,Consumer Sentiment Index,Unemployment Rate
24708,-17,48,26,16,2.1,30,16.1,0.95,11.5,0.16,2,1/1/86,,0.8,2,1,0.3,95.6,6.7
29684,-21,58,32,13,10.5,33.9,22.2,1.34,24.8,0.39,6,2/1/86,,0.8,-3.2,-3.7,-0.3,95.9,7.2
20165,5,62,29,35,18.6,46.3,32.5,1.18,4.5,0.95,1,3/1/86,,1,-16.2,-11.8,-0.5,95.1,7.2
21681,6,67,34,40,22.7,53.1,38.3,1.33,3.5,0.48,2,4/1/86,,1.1,-26,-25.2,-0.2,96.2,7.1
147767,19,84,33,40,26.9,60.9,43.9,0.62,1.3,0.16,1,5/1/86,,1.3,-21.1,-30.4,0.3,94.8,7.2
427968,25,85,43,58,36.2,75.3,55.8,1.93,0,0.56,0,6/1/86,,1.4,-6.6,-26.7,0.6,99.3,7.2
663205,,,,,,,,,,,,7/1/86,,1.1,-1.6,-22.1,0,97.7,7
614295,31,90,46,59,36.7,78.3,57.5,1.67,0,1,0,8/1/86,,0.9,-8.6,-22.2,0.2,94.9,6.9
295089,18,77,35,42,29.2,59.3,44.3,2.24,,0.65,,9/1/86,,0.8,-9.2,-17.9,0.5,91.9,7
94106,5,69,31,40,19.3,56.9,38.1,0.79,0,0.26,0,10/1/86,,0.9,-5.2,-9.5,0.1,95.6,7
6414,-27,52,24,9,4.9,36,20.9,1.28,17.5,0.75,12,11/1/86,,1.1,-0.7,-0.7,0.1,91.4,6.9
18674,-14,34,18,12,-5.5,24.6,9.5,1.03,10,0.9,9,12/1/86,,1.1,-2.4,-0.5,0.1,89.1,6.6
27238,-34,49,25,5,-4.5,24.8,10.1,0.67,12.8,0.21,3,1/1/87,,1.2,7.2,3.1,0.6,90.4,6.6
32559,-15,45,27,19,2.1,35.9,19,0.35,2.1,0.16,1,2/1/87,,1,14.6,15.6,0.4,90.2,6.6
12310,-20,60,27,17,11.9,42.4,27.2,0.99,8.6,0.84,6,3/1/87,,1,13.8,16.9,0.4,90.8,6.6
31938,7,77,28,38,19.2,59.7,39.5,0.3,2,0.16,2,4/1/87,,0.8,6.9,19,0.5,92.8,6.3
185705,19,80,43,43,31.6,64.8,48.2,2.78,0,0.51,0,5/1/87,,0.8,-0.9,11.2,0.4,91.1,6.3
447465,20,83,46,49,33.3,71.2,52.3,2.19,0,0.55,0,6/1/87,,0.8,1.1,12.4,0.4,91.5,6.2
685128,27,84,46,55,37.4,73.6,55.5,4.3,0,0.9,0,7/1/87,,0.9,2.3,13,0.3,93.7,6.1
626537,22,85,43,60,34.4,75.1,54.8,1.38,0,0.51,0,8/1/87,,0.9,6.9,13.8,0.5,94.4,6
361842,17,88,40,53,27,73,50,0.19,0,0.09,0,9/1/87,,1,3.9,6.7,0.5,93.6,5.9
122637,4,78,30,46,15.4,62.1,38.7,0,0,0,0,10/1/87,,0.9,1.9,1.7,0.3,89.3,6
19842,-4,57,33,28,11.1,40.7,25.9,0.83,6.5,0.3,5,11/1/87,,0.9,-0.6,-2.3,0.1,83.1,5.8
19993,-24,48,27,5,0.5,27.4,14,0.83,8.9,0.28,2.8,12/1/87,,0.8,-0.7,-4.7,0,86.8,5.7
25706,-30,41,15,7,-6.2,26,9.9,0.89,10.5,0.19,2,1/1/88,,0.8,-1.7,-8.5,0.3,90.8,5.7
35936,-16,49,20,21,2.6,35.5,19,0.56,11,0.26,4.5,2/1/88,,0.9,-2.3,-6.6,0.3,91.6,5.7
18470,-10,55,24,25,7.6,39.9,23.8,1.06,6,0.31,2.5,3/1/88,,1.1,-2.4,-0.9,0.4,94.6,5.7
22999,4,74,32,34,18.3,54.7,36.5,2.22,14.1,0.5,5,4/1/88,,1.2,-0.9,0.2,0.5,91.2,5.4
175285,13,79,36,36,26.2,63.6,44.9,2.51,9,0.79,4,5/1/88,,1.1,-0.6,1.6,0.3,94.8,5.6
442400,24,91,46,51,35.8,79.4,57.6,0.76,0,0.26,0,6/1/88,,1.1,0.1,0,0.4,94.7,5.4
636295,25,97,43,74,36.1,85.7,60.9,0.89,0,0.36,0,7/1/88,,1.2,0.9,0.6,0.4,93.4,5.4
440130,16,91,42,72,30.2,82.2,56.2,0.22,0,0.12,0,8/1/88,,1.2,3,-6.6,0.4,97.4,5.6
176833,13,86,33,42,24.7,68,46.4,0.24,0,0.12,0,9/1/88,,1.2,1.9,-11,0.7,97.3,5.4
170504,18,74,38,45,24.1,64.8,44.5,0.15,0,0.1,0,10/1/88,,1.1,-0.5,-16.1,0.3,94.1,5.4
18510,-10,62,38,18,10.7,36.9,23.8,1.47,21.5,0.42,5,11/1/88,,1,-2.3,-11.3,0.1,93,5.3
19045,-20,43,23,6,-0.7,23.9,11.6,0.76,11.6,0.14,3,12/1/88,,0.9,-1.3,-3.4,0.2,91.9,5.3
24328,-22,38,19,4,-1.3,25.2,12,1.6,28.9,0.6,11,1/1/89,,1.1,0.5,19.3,0.5,97.9,5.4
30768,-42,48,19,-25,-6.3,22.7,8.2,0.92,11.1,0.3,3,2/1/89,,1.3,2.4,17.6,0.4,95.4,5.2
22163,-29,61,30,7,12.9,40.5,26.7,1.91,23.6,0.47,10,3/1/89,,1.3,4.9,19.6,0.6,94.3,5
25292,0,73,34,33,19.7,51.9,35.8,1.07,3.5,0.34,2,4/1/89,1.3,1.1,15.8,12.1,0.7,91.5,5.2
216163,18,72,37,43,28.1,59.4,43.8,3.18,2,0.58,1,5/1/89,1.5,1.1,16,11.8,0.6,90.7,5.2
467193,24,84,48,56,33.4,70.6,52,1.74,0,0.58,0,6/1/89,2.5,1.1,11.5,1.2,0.2,90.6,5.3
696587,32,93,50,66,39.6,82.4,61,1.77,0,0.34,0,7/1/89,2.5,1.2,-0.7,-6.5,0.2,92,5.2
608248,28,92,52,55,36.1,75.2,55.6,1.18,0,0.28,0,8/1/89,2.5,1,-7,-5,0.2,89.6,5.2
403579,13,82,42,49,27.3,70.2,48.7,0.26,0,0.18,0,9/1/89,1.6,1.3,-7.4,-1,0.3,95.8,5.3
123454,11,74,35,31,24.3,52.8,38.6,2.15,2,0.42,2,10/1/89,1.4,1.1,-5.8,1.6,0.5,93.9,5.3
6791,-8,56,32,24,14.3,39.5,26.9,0.76,7.5,0.19,2,11/1/89,0.4,1.2,-3.4,4,0.2,90.9,5.4
19876,-25,46,25,5,-0.6,25.9,12.7,1.82,35.8,0.73,12,12/1/89,-0.7,0.9,-1.1,7.5,0.2,90.5,5.4
25884,-20,43,26,9,3.6,28.5,16.1,1.62,26.3,0.36,4,1/1/90,0,1,5.8,33.3,1,93,5.4
33285,-30,48,23,12,-1.5,31.8,15.2,0.37,9.8,0.07,1.5,2/1/90,2.8,1.2,8,18.7,0.5,89.5,5.3
19372,-6,55,26,11,12,42.5,27.2,0.8,9.7,0.27,2.5,3/1/90,5.9,1.5,7.3,4.4,0.5,91.3,5.2
29242,4,69,36,35,22.9,54.4,38.6,1.42,3,0.49,2,4/1/90,6.9,1.5,-0.1,-17.2,0.2,93.9,5.4
203712,11,73,41,40,27.3,55.8,41.5,2.22,2.5,0.5,2,5/1/90,5.6,1.4,-1.4,-13.1,0.2,90.6,5.4
526586,25,95,44,51,32.3,70.2,51.2,1.67,0,0.39,0,6/1/90,4.9,1.2,0.3,-6.8,0.5,88.3,5.2
760520,30,95,47,63,35.9,79.8,57.9,1.12,0,0.49,0,7/1/90,3.3,1.1,0.3,-8.1,0.4,88.2,5.5
674454,30,93,46,69,36,80.6,58.3,2.35,0,1.03,0,8/1/90,2.7,0.9,10,5.3,0.9,76.4,5.7
414563,20,86,46,62,31.3,76.8,54.1,1.07,0,0.38,0,9/1/90,3.3,0.8,18,44.5,0.8,72.8,5.9
111145,10,76,36,38,21.3,52.5,36.9,1.79,8.5,0.75,4,10/1/90,5.2,0.9,25.6,76,0.6,63.9,5.9
8117,-6,61,30,21,14.9,41.1,28,0.56,8.5,0.15,3,11/1/90,6.3,0.9,16.2,52.8,0.2,66,6.2
16692,-42,37,12,-27,-11.9,15.6,1.9,1.04,19.1,0.25,5,12/1/90,6.5,1,7.6,6,0,65.5,6.3
28851,-33,38,21,1,-1.4,24.6,11.6,0.61,13.2,0.1,2,1/1/91,4.2,0.7,-5.1,-19.6,0.6,66.8,6.4
38050,-2,52,24,34,9.8,40.1,24.9,0.31,2.6,0.26,1.5,2/1/91,3.3,0.7,-12.5,-21.9,0.1,70.4,6.6
19946,-7,55,30,26,10.2,41.4,25.8,1.16,15,0.34,3,3/1/91,-2.1,0.5,-16.8,-23.9,0.1,87.7,6.8
19875,13,61,34,32,21.1,46.7,33.9,2.21,21.5,0.57,5.5,4/1/91,-6.9,0.7,-11.9,-25.1,0.1,81.8,6.7
188798,13,73,35,37,28.5,58.2,43.3,3.83,8,1.05,4,5/1/91,-7.8,0.9,-3.2,-18.9,0.3,78.3,6.9
499107,26,80,40,61,33.7,71.9,52.8,0.61,0,0.25,0,6/1/91,-3.5,1,0.4,-8.3,0.3,82.1,6.9
796656,30,91,46,64,36.6,81.7,59.2,0.75,0,0.27,0,7/1/91,1.3,0.9,-1.2,-2.9,0.1,82.9,6.8
721103,30,88,49,74,37.3,82,59.7,1.18,0,0.48,0,8/1/91,2.8,0.8,-1.7,0.3,0.3,82,6.9
432948,17,84,43,47,28.3,68.2,48.2,1.82,0,0.75,0,9/1/91,-0.4,0.8,-0.6,2.2,0.4,83,6.9
144944,-15,80,28,20,15.2,55.8,35.5,1.7,24.5,0.67,10,10/1/91,-2.3,0.6,0.3,3.3,0.1,78.3,7
6261,-19,46,27,10,5.4,31.3,18.3,1.6,20,0.33,4,11/1/91,-3.3,0.5,0.2,0.2,0.3,69.1,7
23998,-20,45,18,5,-1.7,26.2,12.2,0.93,17.5,0.4,7,12/1/91,-0.1,0.5,1.2,-5.8,0.1,68.2,7.3
33552,-17,44,17,14,-1.5,28.2,13.3,0.14,5.5,0.03,1,1/1/92,3.9,0.5,0.2,-13.8,0.1,67.5,7.3
40245,-11,50,30,28,8.4,39.8,24.1,0.5,6.8,0.15,2,2/1/92,2.7,0.5,-1.2,-4.7,0.4,68.8,7.4
19615,2,57,24,38,16.8,49.6,33.2,0.55,6,0.35,4.5,3/1/92,3.7,0.4,-2,-5.2,0.5,76,7.4
51933,10,76,33,39,23.5,56.6,40.1,1.72,6,0.47,3,4/1/92,3,0.3,-0.4,11.5,0.1,77.2,7.4
257951,18,80,43,47,29.8,66.9,48.3,2.21,0,1.13,0,5/1/92,0.5,0.3,1,6,0.1,79.2,7.6
539959,24,83,43,44,34.6,69.8,52.2,5.78,0,1.67,0,6/1/92,-8.4,0.4,3.1,14.2,0.4,80.4,7.8
799411,30,85,45,57,35,71.4,53.2,2.08,0,0.47,0,7/1/92,-6.6,0.4,3.8,17.5,0.2,76.6,7.7
742879,13,86,47,55,31.8,78.3,55,1.27,0,0.58,0,8/1/92,-5,0.4,2.3,4.4,0.3,76.1,7.6
462788,13,82,38,45,24.7,67.6,46.2,1.71,0,0.5,0,9/1/92,0.5,0.4,-0.2,-4.3,0.3,75.6,7.6
159842,7,82,31,38,20.3,59.3,39.8,1.4,4,0.95,3.5,10/1/92,5,0.4,0.5,-11.2,0.4,73.3,7.3
8646,-15,47,25,18,5.9,33.6,19.8,1.05,16.8,0.37,5,11/1/92,11.3,0.4,1.6,-11.2,0.1,85.3,7.4
27584,-27,39,21,7,-1.7,24.8,11.5,1.45,24.4,0.5,6,12/1/92,13.4,0.3,2.1,-10.2,-0.1,91,7.4
